attendance_rate,previous_score,passed
63.8,41,Yes
54.7,83,No
90.5,73,No
66.8,75,Yes
73,67,Yes
85.2,40,No
72.7,75,No
81.7,89,Yes
84.2,70,No
95.7,93,Yes
57,81,No
74.7,50,Yes
69.2,31,No
63.3,85,Yes
93.8,68,Yes
88.1,92,No
99.3,60,Yes
74.3,90,Yes
93.6,69,Yes
75.9,38,Yes
61.5,37,No
66.5,92,Yes
73.6,42,No
70.6,81,Yes
59.6,84,No
93.7,36,Yes
92.4,91,Yes
68.9,66,No
64.8,37,No
76.6,38,Yes
56,40,No
83.5,80,No
96.5,42,No
56.6,77,No
77.2,43,Yes
55.4,66,Yes
84.4,36,No
50.2,86,No
55.6,48,No
68.2,61,Yes
78,50,Yes
59,64,No
51.9,88,Yes
51.2,65,No
75.5,44,Yes
51.9,70,No
78.8,30,Yes
53.5,68,Yes
70.1,83,Yes
78.5,66,Yes
82.7,57,Yes
54.2,60,Yes
60,90,Yes
94.3,93,Yes
84.4,52,Yes
62.5,89,Yes
90.8,50,Yes
87.6,65,Yes
63.6,49,No
60.7,89,Yes
71,91,Yes
69.5,58,Yes
69.4,46,No
78.2,47,Yes
69,73,Yes
97.6,90,Yes
82.5,55,No
73.7,62,Yes
80.4,43,Yes
83.9,39,Yes
88.6,74,Yes
75.3,92,No
94.6,52,Yes
96,64,Yes
94.1,73,No
74.4,65,No
75.8,82,No
85.6,67,Yes
83.2,84,Yes
72.7,45,Yes
87.1,91,No
59.7,68,Yes
98.7,92,No
73.5,36,No
53.3,49,Yes
55.9,87,No
65.3,56,Yes
54.1,50,No
79.7,66,Yes
84.4,44,No
91.3,69,Yes
73.4,94,Yes
79.9,33,No
97.5,90,Yes
99.8,90,Yes
83.5,93,Yes
72.7,44,No
99.4,36,Yes
74.9,64,Yes
94,60,Yes
50.7,44,Yes
96.6,91,Yes
57.2,65,Yes
75.4,92,Yes
67.3,71,Yes
61.7,90,Yes
89.6,46,Yes
92.3,48,Yes
89.1,40,Yes
85.9,60,Yes
54.5,51,Yes
66.2,77,No
70.6,40,Yes
62,89,Yes
83.3,39,No
81.9,68,No
61.9,67,No
78.3,59,No
59.5,35,Yes
68.2,71,Yes
56.6,51,No
93.5,48,Yes
90.2,31,Yes
83.6,43,Yes
81,38,No
70.4,68,Yes
94.4,77,Yes
86.3,82,Yes
72.2,77,Yes
63.8,57,Yes
66.7,56,Yes
88.7,48,No
83.1,75,Yes
50.8,83,Yes
72.4,94,Yes
72.9,81,Yes
95.5,48,Yes
81.7,67,Yes
85.1,87,Yes
72.7,84,Yes
84.3,40,No
86.9,45,Yes
95.8,75,Yes
74.1,44,Yes
90.4,33,No
67.6,38,No
76.5,73,Yes
66.2,49,Yes
72.2,83,No
67.3,69,No
52.7,47,Yes
56,46,No
91.7,35,Yes
93.1,83,No
98.3,41,No
79.4,69,Yes
89,74,Yes
57.3,39,No
78.2,70,Yes
72.1,75,Yes
72.6,39,Yes
75.4,54,Yes
97.9,40,No
85.4,77,No
66.9,38,Yes
69.3,40,Yes
98.4,69,Yes
56.4,95,Yes
59,54,No
64.8,46,No
59,35,No
80.5,69,Yes
83.9,66,Yes
70.9,62,No
96.7,40,Yes
95.3,58,Yes
52.7,79,No
65.9,47,No
91.6,40,Yes
57.5,66,Yes
61.9,44,No
62.1,30,Yes
70.8,94,Yes
73.5,32,Yes
86.6,35,No
89,47,Yes
60.1,69,No
62.7,36,Yes
90,79,No
74.9,84,Yes
59,40,Yes
80.1,74,Yes
99.9,81,Yes
92.4,38,No
97.5,77,Yes
56.9,65,Yes
59.3,63,Yes
99.8,45,No
94.9,74,Yes
64.5,76,Yes
89.6,76,Yes
99.2,69,Yes
88.5,70,Yes
84,46,Yes
57.7,58,Yes
59.8,68,Yes
58.4,73,Yes
52.3,83,No
81.4,61,Yes
53.6,83,Yes
80.3,81,No
55.3,64,Yes
52.5,50,No
58,69,Yes
75.3,36,No
94.1,43,Yes
68.3,81,Yes
64.4,45,No
89.7,55,Yes
52.3,88,No
65.9,94,Yes
73.7,44,No
73.7,91,Yes
84,32,Yes
70.6,37,No
78,52,No
83.8,61,No
88.6,91,Yes
78.7,74,Yes
64.4,62,No
91.4,43,Yes
83.5,36,No
73.6,82,Yes
60,37,Yes
76.8,52,No
96.8,68,Yes
72.7,94,Yes
55.6,53,Yes
83.7,84,Yes
83.5,71,Yes
61.8,31,No
83.4,81,Yes
95.8,58,Yes
87.4,90,Yes
87.7,39,Yes
77.4,51,Yes
60.3,95,Yes
75.7,69,Yes
90.8,84,Yes
96.7,66,No
82.1,87,Yes
98.2,45,Yes
86.4,68,No
91.2,49,Yes
90.5,56,No
72.3,81,No
87.7,59,Yes
88.6,48,Yes
63.8,93,No
76.2,68,Yes
62,89,No
76.5,56,Yes
68.6,64,Yes
90.2,56,No
96.9,56,No
88.8,69,Yes
74.9,56,Yes
78.1,63,No
59.8,93,No
91.1,75,Yes
59.2,39,Yes
56.9,31,No
80.9,32,No
76.5,94,Yes
95.9,54,Yes
89.7,88,Yes
84.2,81,Yes
52.8,93,Yes
98.7,57,Yes
96.2,70,No
87.6,50,No
92.5,47,Yes
98.7,59,Yes
80.7,33,Yes
61.4,53,Yes
80.9,64,Yes
69.5,30,Yes
63.5,85,Yes
54.5,79,No
89,78,Yes
63.4,85,No
89.1,93,Yes
56.8,78,Yes
71.5,71,Yes
58.9,92,Yes
64,55,Yes
97.7,67,Yes
75,49,Yes
72.5,94,Yes
89.5,61,No
80.6,85,Yes
61.1,77,No
75,43,Yes
91.6,73,No
67.4,70,No
85.5,51,Yes
77.6,59,Yes
82,55,No
85.2,43,No
59.9,70,Yes
79.4,52,Yes
54.2,60,Yes
84.7,47,Yes
74.3,92,No
92.1,31,Yes
69.2,92,Yes
54.1,34,No
58.4,44,No
